date	close	volume	open	high	low
2017-09-18	0.3246	10266	0.348	0.348	0.324
2017-09-15	0.3385	6083	0.3363	0.3385	0.3363
2017-09-14	0.3351	15333	0.3583	0.359	0.3351
2017-09-13	0.3569	1709	0.3569	0.3569	0.3569
2017-09-12	0.3672	24325	0.3664	0.374	0.3664
2017-09-11	0.35	11741	0.3623	0.3625	0.35
2017-09-08	0.3582	6442	0.376	0.376	0.3582
2017-09-07	0.3737	2000	0.356	0.3737	0.356
2017-09-06	0.3586	6833	0.341	0.3586	0.341
2017-09-05	0.34	24009	0.3515	0.3515	0.34
2017-09-01	0.3413	7004	0.3418	0.3418	0.3413
2017-08-31	0.3391	6666	0.3197	0.3391	0.3157
2017-08-30	0.3149	100	0.3149	0.3149	0.3149
2017-08-29	0.3362	0	0.3362	0.3362	0.3362
2017-08-28	0.3362	1235	0.3324	0.3362	0.3324
2017-08-25	0.3415	12580	0.3304	0.3415	0.3238
2017-08-24	0.3153	49000	0.32	0.32	0.3153
2017-08-23	0.3245	92469	0.342	0.342	0.3212
2017-08-22	0.3677	2000	0.3487	0.3677	0.3487
2017-08-21	0.34	6666	0.3457	0.3799	0.34
2017-08-18	0.3672	7450	0.329	0.3672	0.329
2017-08-17	0.336	23225	0.3304	0.3517	0.3304
2017-08-16	0.3387	28414	0.296	0.35	0.296
2017-08-15	0.3842	0	0.3842	0.3842	0.3842
2017-08-14	0.3842	1200	0.387	0.387	0.3842
2017-08-11	0.3854	8591	0.3845	0.3881	0.3845
2017-08-10	0.3847	3140	0.3909	0.3909	0.3847
2017-08-09	0.3928	2225	0.4052	0.4052	0.3928
2017-08-08	0.383	7380	0.382	0.3838	0.382
2017-08-07	0.395	0	0.395	0.395	0.395
2017-08-04	0.395	10216	0.395	0.432	0.358
2017-08-03	0.3948	17032	0.3593	0.3948	0.3521
2017-08-02	0.3413	7356	0.334	0.3484	0.334
2017-08-01	0.3671	55620	0.3482	0.3671	0.3482
2017-07-31	0.372	10813	0.37	0.375	0.3572
